Step,Loss,Accuracy
0,0.39158697673009574,85
1,0.5003258778704281,82
2,0.5493949937743696,79
3,0.8258329572850654,81
4,0.3807915354183841,86
5,0.2745044241032546,89
6,0.2700150387739621,89
7,0.25804675138682726,89
8,0.3067428196766203,88
9,0.23454813487098164,90
10,0.31722178795575806,88
11,0.1686181180939318,94
12,0.1914924311488818,95
13,0.3194510097164268,87
14,0.25594663695889286,89
15,0.13329391343988145,96
16,0.15869348831451835,95
17,0.18584880431642864,96
18,0.39139114406558656,86
19,0.1611278088605502,94
20,0.11451653544830265,96
21,0.11817020827716156,95
22,0.12653981618653962,96
23,0.1265629730242399,95
24,0.06523688381545073,99
25,0.06557836611345169,97
26,0.10404640568860135,96
27,0.23376115550987908,93
28,0.09572807113093765,97
29,0.06442229552335868,99
30,0.08840687164510638,96
31,0.06562730967129678,99
32,0.07101769995262619,97
33,0.047720695539667686,100
34,0.055043585953861135,97
35,0.04464675226480587,100
36,0.07855342990905151,97
37,0.03181993245718562,100
38,0.030533533491430107,100
39,0.03272479621295988,99
40,0.0594524807325591,100
41,0.16938398363609822,95
42,0.08745642831297437,97
43,0.03213070211477028,99
44,0.04495057640318559,100
45,0.06989290788537902,97
46,0.02479587673282468,100
47,0.02229095067709569,100
48,0.021731776776512394,100
49,0.020247896429531474,100
50,0.038549869104926526,100
51,0.0658088609611577,97
52,0.024109732568884247,100
53,0.033353785916898304,100
54,0.05106367846312512,98
55,0.021190895978315867,100
56,0.023348640406599862,100
57,0.04571741050498533,98
58,0.02251628969250763,100
59,0.024123260067758473,100
60,0.04247985437651072,98
61,0.02119241533396133,100
62,0.016296636463295374,100
63,0.022045325841366543,100
64,0.014406743289609055,100
65,0.016832662551145815,100
66,0.019234103282822046,100
67,0.024257615552849054,100
68,0.014138323650825702,100
69,0.016072176770706482,100
70,0.016825724947965453,100
71,0.020017296258293307,100
72,0.01419645932190739,100
73,0.015061620563295408,100
74,0.01959283484769921,100
75,0.014262628609860646,100
76,0.014087032991742132,100
77,0.015755514767820913,100
78,0.01416292408196532,100
79,0.013553732370940768,100
80,0.014288028071793687,100
81,0.013151750765828508,100
82,0.013107333279667874,100
83,0.013037846999803777,100
84,0.012955689689503285,100
85,0.014735837275015689,100
86,0.014143777049778901,100
87,0.012990464974266808,100
88,0.014008382094697087,100
89,0.014020101835839903,100
90,0.012998876115446487,100
91,0.013397859120317103,100
92,0.013915514485663569,100
93,0.013035043145831163,100
94,0.012883382586923672,100
95,0.013085684671076691,100
96,0.012558213894797766,100
97,0.012505773518621418,100
98,0.01245727755092932,100
99,0.012412599418986795,100
